The methylation sites in “ES_f_mC” but not in “EpiSC_mC” are:

chr19	3001094	3001095	100

chr19	3001859	3001860	100

chr19	3002102	3002103	100

chr19	3002103	3002104	0

chr19	3002132	3002133	100

chr19	3002235	3002236	100

chr19	3002276	3002277	100

chr19	3002332	3002333	100

chr19	3002699	3002700	0

chr19	3003728	3003729	100

chr19	3004025	3004026	100

chr19	3004986	3004987	100

chr19	3005813	3005814	100

chr19	3007257	3007258	100

chr19	3009586	3009587	100

chr19	3023667	3023668	100

chr19	3025884	3025885	100

chr19	3025891	3025892	100

chr19	3026477	3026478	100

chr19	3026487	3026488	100

chr19	3026505	3026506	100

chr19	3027801	3027802	100

chr19	3029525	3029526	100

chr19	3033336	3033337	100

chr19	3036691	3036692	100

chr19	3036713	3036714	100

chr19	3036717	3036718	100

chr19	3037509	3037510	100

chr19	3037524	3037525	100

chr19	3038015	3038016	100

chr19	3038158	3038159	100

chr19	3039088	3039089	0

chr19	3039404	3039405	100

chr19	3039647	3039648	100

chr19	3040036	3040037	100

chr19	3046997	3046998	100

chr19	3047137	3047138	100

chr19	3047160	3047161	100

chr19	3048000	3048001	100

chr19	3048236	3048237	100

chr19	3048260	3048261	100

chr19	3048975	3048976	100

chr19	3049211	3049212	100

chr19	3049999	3050000	100

chr19	3050238	3050239	0

chr19	3052014	3052015	100

chr19	3052020	3052021	100

chr19	3052067	3052068	100

chr19	3052835	3052836	100

chr19	3052956	3052957	100

chr19	3053372	3053373	100

chr19	3053654	3053655	0

chr19	3053724	3053725	100

chr19	3054322	3054323	100

chr19	3057471	3057472	0

chr19	3058379	3058380	100

chr19	3058860	3058861	100

chr19	3058943	3058944	100

chr19	3065886	3065887	100

chr19	3067761	3067762	100

chr19	3072200	3072201	100

chr19	3073793	3073794	100

chr19	3075167	3075168	0

chr19	3079585	3079586	100

chr19	3079674	3079675	100

chr19	3079678	3079679	100

chr19	3079681	3079682	100

chr19	3080334	3080335	0

chr19	3080580	3080581	100

chr19	3081083	3081084	0

chr19	3081534	3081535	100

chr19	3082757	3082758	100

